Job_title,Hourly_salary,Annual_salary,Salary_Frequency,Location,Source,Scrape_Date
Motorboat Mechanics and Service Technicians,24.17,"50,280",Hourly | Annual,US,BLS.gov,2023-12-01
Motorcycle Mechanics,21.51,"44,740",Hourly | Annual,US,BLS.gov,2023-12-01
Outdoor Power Equipment and Other Small Engine Mechanics,20.48,"42,590",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",17.68,"36,780",Hourly | Annual,US,BLS.gov,2023-12-01
Bicycle Repairers,17.68,"36,770",Hourly | Annual,US,BLS.gov,2023-12-01
Recreational Vehicle Service Technicians,22.75,"47,320",Hourly | Annual,US,BLS.gov,2023-12-01
Tire Repairers and Changers,16.81,"34,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Other Installation, Maintenance, and Repair Occupations",25.46,"52,970",Hourly | Annual,US,BLS.gov,2023-12-01
Control and Valve Installers and Repairers,29.63,"61,620",Hourly | Annual,US,BLS.gov,2023-12-01
Mechanical Door Repairers,23.27,"48,400",Hourly | Annual,US,BLS.gov,2023-12-01
"Control and Valve Installers and Repairers, Except Mechanical Door",33.37,"69,410",Hourly | Annual,US,BLS.gov,2023-12-01
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.63,"57,460",Hourly | Annual,US,BLS.gov,2023-12-01
Home Appliance Repairers,22.84,"47,500",Hourly | Annual,US,BLS.gov,2023-12-01
"Industrial Machinery Installation, Repair, and Maintenance Workers",29.03,"60,390",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial Machinery Mechanics,29.32,"60,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Maintenance Workers, Machinery",26.88,"55,910",Hourly | Annual,US,BLS.gov,2023-12-01
Millwrights,29.69,"61,750",Hourly | Annual,US,BLS.gov,2023-12-01
"Refractory Materials Repairers, Except Brickmasons",24.52,"51,010",Hourly | Annual,US,BLS.gov,2023-12-01
Line Installers and Repairers,35.58,"74,010",Hourly | Annual,US,BLS.gov,2023-12-01
Electrical Power-Line Installers and Repairers,39.79,"82,770",Hourly | Annual,US,BLS.gov,2023-12-01
Telecommunications Line Installers and Repairers,30.90,"64,280",Hourly | Annual,US,BLS.gov,2023-12-01
Precision Instrument and Equipment Repairers,28.51,"59,300",Hourly | Annual,US,BLS.gov,2023-12-01
Camera and Photographic Equipment Repairers,22.53,"46,870",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Equipment Repairers,29.30,"60,950",Hourly | Annual,US,BLS.gov,2023-12-01
Musical Instrument Repairers and Tuners,20.73,"43,120",Hourly | Annual,US,BLS.gov,2023-12-01
Watch and Clock Repairers,23.84,"49,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Precision Instrument and Equipment Repairers, All Other",30.76,"63,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Maintenance and Repair Workers, General",22.66,"47,130",Hourly | Annual,US,BLS.gov,2023-12-01
Wind Turbine Service Technicians,28.79,"59,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Installation, Maintenance, and Repair Workers",22.07,"45,910",Hourly | Annual,US,BLS.gov,2023-12-01
"Coin, Vending, and Amusement Machine Servicers and Repairers",20.43,"42,500",Hourly | Annual,US,BLS.gov,2023-12-01
Commercial Divers,41.17,"85,630",Hourly | Annual,US,BLS.gov,2023-12-01
Locksmiths and Safe Repairers,24.14,"50,210",Hourly | Annual,US,BLS.gov,2023-12-01
Manufactured Building and Mobile Home Installers,18.28,"38,020",Hourly | Annual,US,BLS.gov,2023-12-01
Riggers,28.22,"58,700",Hourly | Annual,US,BLS.gov,2023-12-01
Signal and Track Switch Repairers,37.20,"77,370",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers--Installation, Maintenance, and Repair Workers",17.67,"36,750",Hourly | Annual,US,BLS.gov,2023-12-01
"Installation, Maintenance, and Repair Workers, All Other",22.98,"47,800",Hourly | Annual,US,BLS.gov,2023-12-01
Production Occupations,21.81,"45,370",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Production and Operating Workers,33.22,"69,100",Hourly | Annual,US,BLS.gov,2023-12-01
Assemblers and Fabricators,19.92,"41,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",28.90,"60,110",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical, Electronics, and Electromechanical Assemblers",20.14,"41,890",Hourly | Annual,US,BLS.gov,2023-12-01
"Coil Winders, Tapers, and Finishers",21.56,"44,850",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",20.08,"41,770",Hourly | Annual,US,BLS.gov,2023-12-01
Engine and Other Machine Assemblers,24.99,"51,980",Hourly | Annual,US,BLS.gov,2023-12-01
Structural Metal Fabricators and Fitters,23.50,"48,870",Hourly | Annual,US,BLS.gov,2023-12-01
Fiberglass Laminators and Fabricators,19.85,"41,280",Hourly | Annual,US,BLS.gov,2023-12-01
Timing Device Assemblers and Adjusters,22.35,"46,480",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Assemblers and Fabricators,19.35,"40,250",Hourly | Annual,US,BLS.gov,2023-12-01
Food Processing Workers,17.45,"36,300",Hourly | Annual,US,BLS.gov,2023-12-01
Bakers,16.41,"34,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Butchers and Other Meat, Poultry, and Fish Processing Workers",17.42,"36,230",Hourly | Annual,US,BLS.gov,2023-12-01
Butchers and Meat Cutters,18.36,"38,200",Hourly | Annual,US,BLS.gov,2023-12-01
"Meat, Poultry, and Fish Cutters and Trimmers",16.87,"35,090",Hourly | Annual,US,BLS.gov,2023-12-01
Slaughterers and Meat Packers,16.79,"34,920",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Food Processing Workers,18.31,"38,090",Hourly | Annual,US,BLS.gov,2023-12-01
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19.12,"39,770",Hourly | Annual,US,BLS.gov,2023-12-01
Food Batchmakers,18.61,"38,710",Hourly | Annual,US,BLS.gov,2023-12-01
Food Cooking Machine Operators and Tenders,18.15,"37,760",Hourly | Annual,US,BLS.gov,2023-12-01
"Food Processing Workers, All Other",17.04,"35,430",Hourly | Annual,US,BLS.gov,2023-12-01
Metal Workers and Plastic Workers,22.61,"47,020",Hourly | Annual,US,BLS.gov,2023-12-01
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",21.43,"44,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",20.47,"42,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",22.57,"46,940",Hourly | Annual,US,BLS.gov,2023-12-01
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",23.20,"48,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",20.67,"42,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",20.31,"42,240",Hourly | Annual,US,BLS.gov,2023-12-01
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",21.81,"45,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",20.21,"42,050",Hourly | Annual,US,BLS.gov,2023-12-01
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.99,"47,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",23.65,"49,200",Hourly | Annual,US,BLS.gov,2023-12-01
Machinists,24.72,"51,430",Hourly | Annual,US,BLS.gov,2023-12-01
"Metal Furnace Operators, Tenders, Pourers, and Casters",24.91,"51,810",Hourly | Annual,US,BLS.gov,2023-12-01
Metal-Refining Furnace Operators and Tenders,25.70,"53,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Pourers and Casters, Metal",22.41,"46,600",Hourly | Annual,US,BLS.gov,2023-12-01
"Model Makers and Patternmakers, Metal and Plastic",28.04,"58,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Model Makers, Metal and Plastic",28.95,"60,220",Hourly | Annual,US,BLS.gov,2023-12-01
"Patternmakers, Metal and Plastic",26.67,"55,470",Hourly | Annual,US,BLS.gov,2023-12-01
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",19.15,"39,830",Hourly | Annual,US,BLS.gov,2023-12-01
Foundry Mold and Coremakers,20.19,"42,000",Hourly | Annual,US,BLS.gov,2023-12-01
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",19.08,"39,690",Hourly | Annual,US,BLS.gov,2023-12-01
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",20.21,"42,040",Hourly | Annual,US,BLS.gov,2023-12-01
Tool and Die Makers,28.55,"59,390",Hourly | Annual,US,BLS.gov,2023-12-01
"Welding, Soldering, and Brazing Workers",24.11,"50,160",Hourly | Annual,US,BLS.gov,2023-12-01
"Welders, Cutters, Solderers, and Brazers",24.26,"50,460",Hourly | Annual,US,BLS.gov,2023-12-01
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",22.17,"46,110",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Metal Workers and Plastic Workers,20.73,"43,110",Hourly | Annual,US,BLS.gov,2023-12-01
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",21.01,"43,700",Hourly | Annual,US,BLS.gov,2023-12-01
"Layout Workers, Metal and Plastic",27.00,"56,170",Hourly | Annual,US,BLS.gov,2023-12-01
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",19.37,"40,290",Hourly | Annual,US,BLS.gov,2023-12-01
"Tool Grinders, Filers, and Sharpeners",22.14,"46,040",Hourly | Annual,US,BLS.gov,2023-12-01
"Metal Workers and Plastic Workers, All Other",20.18,"41,960",Hourly | Annual,US,BLS.gov,2023-12-01
Printing Workers,20.33,"42,280",Hourly | Annual,US,BLS.gov,2023-12-01
Prepress Technicians and Workers,21.58,"44,880",Hourly | Annual,US,BLS.gov,2023-12-01
Printing Press Operators,20.55,"42,730",Hourly | Annual,US,BLS.gov,2023-12-01
Print Binding and Finishing Workers,18.68,"38,850",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile, Apparel, and Furnishings Workers",15.95,"33,170",Hourly | Annual,US,BLS.gov,2023-12-01
Laundry and Dry-Cleaning Workers,14.26,"29,660",Hourly | Annual,US,BLS.gov,2023-12-01
"Pressers, Textile, Garment, and Related Materials",14.73,"30,650",Hourly | Annual,US,BLS.gov,2023-12-01
Sewing Machine Operators,15.93,"33,130",Hourly | Annual,US,BLS.gov,2023-12-01
Shoe and Leather Workers,16.58,"34,490",Hourly | Annual,US,BLS.gov,2023-12-01
Shoe and Leather Workers and Repairers,16.64,"34,600",Hourly | Annual,US,BLS.gov,2023-12-01
Shoe Machine Operators and Tenders,16.42,"34,160",Hourly | Annual,US,BLS.gov,2023-12-01
"Tailors, Dressmakers, and Sewers",17.59,"36,590",Hourly | Annual,US,BLS.gov,2023-12-01
"Sewers, Hand",16.08,"33,440",Hourly | Annual,US,BLS.gov,2023-12-01
"Tailors, Dressmakers, and Custom Sewers",17.90,"37,230",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile Machine Setters, Operators, and Tenders",16.79,"34,910",Hourly | Annual,US,BLS.gov,2023-12-01
Textile Bleaching and Dyeing Machine Operators and Tenders,16.30,"33,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile Cutting Machine Setters, Operators, and Tenders",16.81,"34,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",17.17,"35,710",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",16.64,"34,610",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Textile, Apparel, and Furnishings Workers",20.21,"42,030",Hourly | Annual,US,BLS.gov,2023-12-01
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",20.56,"42,770",Hourly | Annual,US,BLS.gov,2023-12-01
Fabric and Apparel Patternmakers,32.13,"66,820",Hourly | Annual,US,BLS.gov,2023-12-01
Upholsterers,20.14,"41,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Textile, Apparel, and Furnishings Workers, All Other",17.08,"35,520",Hourly | Annual,US,BLS.gov,2023-12-01
Woodworkers,19.11,"39,750",Hourly | Annual,US,BLS.gov,2023-12-01
Cabinetmakers and Bench Carpenters,20.25,"42,120",Hourly | Annual,US,BLS.gov,2023-12-01
Furniture Finishers,19.17,"39,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Model Makers and Patternmakers, Wood",24.32,"50,580",Hourly | Annual,US,BLS.gov,2023-12-01
"Model Makers, Wood",25.39,"52,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Patternmakers, Wood",21.98,"45,720",Hourly | Annual,US,BLS.gov,2023-12-01
"Woodworking Machine Setters, Operators, and Tenders",18.17,"37,800",Hourly | Annual,US,BLS.gov,2023-12-01
"Sawing Machine Setters, Operators, and Tenders, Wood",18.00,"37,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",18.30,"38,060",Hourly | Annual,US,BLS.gov,2023-12-01
"Woodworkers, All Other",17.73,"36,870",Hourly | Annual,US,BLS.gov,2023-12-01
Plant and System Operators,33.85,"70,400",Hourly | Annual,US,BLS.gov,2023-12-01
"Power Plant Operators, Distributors, and Dispatchers",45.59,"94,820",Hourly | Annual,US,BLS.gov,2023-12-01
Nuclear Power Reactor Operators,56.50,"117,510",Hourly | Annual,US,BLS.gov,2023-12-01
Power Distributors and Dispatchers,48.73,"101,360",Hourly | Annual,US,BLS.gov,2023-12-01
Power Plant Operators,42.77,"88,960",Hourly | Annual,US,BLS.gov,2023-12-01
Stationary Engineers and Boiler Operators,34.89,"72,570",Hourly | Annual,US,BLS.gov,2023-12-01
Water and Wastewater Treatment Plant and System Operators,26.78,"55,690",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Plant and System Operators,37.18,"77,340",Hourly | Annual,US,BLS.gov,2023-12-01
Chemical Plant and System Operators,38.12,"79,290",Hourly | Annual,US,BLS.gov,2023-12-01
Gas Plant Operators,37.71,"78,430",Hourly | Annual,US,BLS.gov,2023-12-01
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",40.45,"84,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Plant and System Operators, All Other",28.88,"60,070",Hourly | Annual,US,BLS.gov,2023-12-01
Other Production Occupations,21.28,"44,260",Hourly | Annual,US,BLS.gov,2023-12-01
"Chemical Processing Machine Setters, Operators, and Tenders",25.28,"52,580",Hourly | Annual,US,BLS.gov,2023-12-01
Chemical Equipment Operators and Tenders,26.06,"54,210",Hourly | Annual,US,BLS.gov,2023-12-01
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",23.55,"48,980",Hourly | Annual,US,BLS.gov,2023-12-01
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",21.46,"44,630",Hourly | Annual,US,BLS.gov,2023-12-01
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",21.79,"45,310",Hourly | Annual,US,BLS.gov,2023-12-01
"Grinding and Polishing Workers, Hand",18.64,"38,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Mixing and Blending Machine Setters, Operators, and Tenders",21.74,"45,220",Hourly | Annual,US,BLS.gov,2023-12-01
Cutting Workers,19.92,"41,430",Hourly | Annual,US,BLS.gov,2023-12-01
"Cutters and Trimmers, Hand",18.19,"37,830",Hourly | Annual,US,BLS.gov,2023-12-01
"Cutting and Slicing Machine Setters, Operators, and Tenders",20.18,"41,980",Hourly | Annual,US,BLS.gov,2023-12-01
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",20.17,"41,940",Hourly | Annual,US,BLS.gov,2023-12-01
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",22.20,"46,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Inspectors, Testers, Sorters, Samplers, and Weighers",22.74,"47,290",Hourly | Annual,US,BLS.gov,2023-12-01
Jewelers and Precious Stone and Metal Workers,24.29,"50,530",Hourly | Annual,US,BLS.gov,2023-12-01
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,22.23,"46,240",Hourly | Annual,US,BLS.gov,2023-12-01
Dental Laboratory Technicians,24.01,"49,930",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Appliance Technicians,22.23,"46,240",Hourly | Annual,US,BLS.gov,2023-12-01
Ophthalmic Laboratory Technicians,19.30,"40,140",Hourly | Annual,US,BLS.gov,2023-12-01
Packaging and Filling Machine Operators and Tenders,18.78,"39,060",Hourly | Annual,US,BLS.gov,2023-12-01
Painting Workers,22.16,"46,100",Hourly | Annual,US,BLS.gov,2023-12-01
"Painting, Coating, and Decorating Workers",20.08,"41,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",22.33,"46,440",Hourly | Annual,US,BLS.gov,2023-12-01
Semiconductor Processing Technicians,23.25,"48,370",Hourly | Annual,US,BLS.gov,2023-12-01
Photographic Process Workers and Processing Machine Operators,20.55,"42,750",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Numerically Controlled Tool Operators and Programmers,24.13,"50,200",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Numerically Controlled Tool Operators,23.05,"47,940",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Numerically Controlled Tool Programmers,31.05,"64,580",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Production Workers,19.06,"39,640",Hourly | Annual,US,BLS.gov,2023-12-01
Adhesive Bonding Machine Operators and Tenders,19.28,"40,100",Hourly | Annual,US,BLS.gov,2023-12-01
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",18.81,"39,130",Hourly | Annual,US,BLS.gov,2023-12-01
Cooling and Freezing Equipment Operators and Tenders,21.27,"44,240",Hourly | Annual,US,BLS.gov,2023-12-01
Etchers and Engravers,19.69,"40,950",Hourly | Annual,US,BLS.gov,2023-12-01
"Molders, Shapers, and Casters, Except Metal and Plastic",20.04,"41,680",Hourly | Annual,US,BLS.gov,2023-12-01
"Paper Goods Machine Setters, Operators, and Tenders",22.30,"46,390",Hourly | Annual,US,BLS.gov,2023-12-01
Tire Builders,24.33,"50,600",Hourly | Annual,US,BLS.gov,2023-12-01
Helpers--Production Workers,17.18,"35,740",Hourly | Annual,US,BLS.gov,2023-12-01
"Production Workers, All Other",18.68,"38,860",Hourly | Annual,US,BLS.gov,2023-12-01
Transportation and Material Moving Occupations,21.12,"43,930",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Transportation and Material Moving Workers,29.26,"60,850",Hourly | Annual,US,BLS.gov,2023-12-01
Aircraft Cargo Handling Supervisors,29.40,"61,150",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",29.25,"60,850",Hourly | Annual,US,BLS.gov,2023-12-01
Air Transportation Workers,(4),"131,630",Hourly | Annual,US,BLS.gov,2023-12-01
Aircraft Pilots and Flight Engineers,(4),"189,620",Hourly | Annual,US,BLS.gov,2023-12-01
"Airline Pilots, Copilots, and Flight Engineers",(4),"225,740",Hourly | Annual,US,BLS.gov,2023-12-01
Commercial Pilots,(4),"123,250",Hourly | Annual,US,BLS.gov,2023-12-01
Air Traffic Controllers and Airfield Operations Specialists,49.74,"103,460",Hourly | Annual,US,BLS.gov,2023-12-01
Air Traffic Controllers,62.90,"130,840",Hourly | Annual,US,BLS.gov,2023-12-01
Airfield Operations Specialists,30.79,"64,050",Hourly | Annual,US,BLS.gov,2023-12-01
Flight Attendants,(4),"67,020",Hourly | Annual,US,BLS.gov,2023-12-01
Motor Vehicle Operators,22.65,"47,110",Hourly | Annual,US,BLS.gov,2023-12-01
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",16.14,"33,570",Hourly | Annual,US,BLS.gov,2023-12-01
Driver/Sales Workers and Truck Drivers,23.19,"48,240",Hourly | Annual,US,BLS.gov,2023-12-01
Driver/Sales Workers,17.10,"35,560",Hourly | Annual,US,BLS.gov,2023-12-01
Heavy and Tractor-Trailer Truck Drivers,25.52,"53,090",Hourly | Annual,US,BLS.gov,2023-12-01
Light Truck Drivers,21.65,"45,020",Hourly | Annual,US,BLS.gov,2023-12-01
Passenger Vehicle Drivers,20.39,"42,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Bus Drivers, School",20.39,"42,400",Hourly | Annual,US,BLS.gov,2023-12-01
"Bus Drivers, Transit and Intercity",25.92,"53,920",Hourly | Annual,US,BLS.gov,2023-12-01
Shuttle Drivers and Chauffeurs,16.83,"35,000",Hourly | Annual,US,BLS.gov,2023-12-01
Taxi Drivers,15.73,"32,710",Hourly | Annual,US,BLS.gov,2023-12-01
"Motor Vehicle Operators, All Other",18.10,"37,650",Hourly | Annual,US,BLS.gov,2023-12-01
Rail Transportation Workers,33.67,"70,040",Hourly | Annual,US,BLS.gov,2023-12-01
Locomotive Engineers and Operators,35.00,"72,790",Hourly | Annual,US,BLS.gov,2023-12-01
Locomotive Engineers,35.50,"73,850",Hourly | Annual,US,BLS.gov,2023-12-01
"Rail Yard Engineers, Dinkey Operators, and Hostlers",28.09,"58,430",Hourly | Annual,US,BLS.gov,2023-12-01
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",31.16,"64,810",Hourly | Annual,US,BLS.gov,2023-12-01
Railroad Conductors and Yardmasters,33.26,"69,190",Hourly | Annual,US,BLS.gov,2023-12-01
Subway and Streetcar Operators,36.48,"75,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Rail Transportation Workers, All Other",22.49,"46,780",Hourly | Annual,US,BLS.gov,2023-12-01
Water Transportation Workers,39.52,"82,200",Hourly | Annual,US,BLS.gov,2023-12-01
Sailors and Marine Oilers,25.65,"53,350",Hourly | Annual,US,BLS.gov,2023-12-01
Ship and Boat Captains and Operators,47.86,"99,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Captains, Mates, and Pilots of Water Vessels",50.09,"104,190",Hourly | Annual,US,BLS.gov,2023-12-01
Motorboat Operators,22.74,"47,300",Hourly | Annual,US,BLS.gov,2023-12-01
Ship Engineers,48.55,"100,980",Hourly | Annual,US,BLS.gov,2023-12-01
Other Transportation Workers,18.15,"37,750",Hourly | Annual,US,BLS.gov,2023-12-01
Bridge and Lock Tenders,22.55,"46,910",Hourly | Annual,US,BLS.gov,2023-12-01
Parking Attendants,15.01,"31,230",Hourly | Annual,US,BLS.gov,2023-12-01
Transportation Service Attendants,16.11,"33,500",Hourly | Annual,US,BLS.gov,2023-12-01
Automotive and Watercraft Service Attendants,15.55,"32,340",Hourly | Annual,US,BLS.gov,2023-12-01
Aircraft Service Attendants,18.94,"39,400",Hourly | Annual,US,BLS.gov,2023-12-01
Traffic Technicians,26.31,"54,720",Hourly | Annual,US,BLS.gov,2023-12-01
Transportation Inspectors,38.35,"79,770",Hourly | Annual,US,BLS.gov,2023-12-01
Passenger Attendants,17.42,"36,230",Hourly | Annual,US,BLS.gov,2023-12-01
"Transportation Workers, All Other",19.37,"40,290",Hourly | Annual,US,BLS.gov,2023-12-01
Material Moving Workers,17.92,"37,270",Hourly | Annual,US,BLS.gov,2023-12-01
Conveyor Operators and Tenders,19.26,"40,060",Hourly | Annual,US,BLS.gov,2023-12-01
Crane and Tower Operators,31.36,"65,220",Hourly | Annual,US,BLS.gov,2023-12-01
Dredge Operators,24.89,"51,770",Hourly | Annual,US,BLS.gov,2023-12-01
Hoist and Winch Operators,33.23,"69,120",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial Truck and Tractor Operators,20.79,"43,240",Hourly | Annual,US,BLS.gov,2023-12-01
Laborers and Material Movers,17.33,"36,050",Hourly | Annual,US,BLS.gov,2023-12-01
Cleaners of Vehicles and Equipment,15.74,"32,730",Hourly | Annual,US,BLS.gov,2023-12-01
"Laborers and Freight, Stock, and Material Movers, Hand",18.03,"37,510",Hourly | Annual,US,BLS.gov,2023-12-01
Machine Feeders and Offbearers,18.80,"39,100",Hourly | Annual,US,BLS.gov,2023-12-01
"Packers and Packagers, Hand",16.02,"33,310",Hourly | Annual,US,BLS.gov,2023-12-01
Stockers and Order Fillers,17.09,"35,550",Hourly | Annual,US,BLS.gov,2023-12-01
Pumping Station Operators,30.11,"62,620",Hourly | Annual,US,BLS.gov,2023-12-01
Gas Compressor and Gas Pumping Station Operators,29.57,"61,500",Hourly | Annual,US,BLS.gov,2023-12-01
"Pump Operators, Except Wellhead Pumpers",28.44,"59,150",Hourly | Annual,US,BLS.gov,2023-12-01
Wellhead Pumpers,31.50,"65,510",Hourly | Annual,US,BLS.gov,2023-12-01
Refuse and Recyclable Material Collectors,21.91,"45,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Tank Car, Truck, and Ship Loaders",28.21,"58,680",Hourly | Annual,US,BLS.gov,2023-12-01
"Material Moving Workers, All Other",20.81,"43,290",Hourly | Annual,US,BLS.gov,2023-12-01
